compression,gamma,task,step,accepted,acceptance_rate,tokens_produced,mean_draft_entropy,mean_draft_confidence,max_draft_entropy,min_draft_confidence
fp16,2,code,0,0,0.0,1,2.0172,0.6549,2.956,0.4504
fp16,2,code,1,0,0.0,1,2.291,0.5627,3.8145,0.2022
fp16,2,code,2,0,0.0,1,0.333,0.9629,0.6404,0.9277
fp16,2,code,3,2,1.0,3,0.0141,0.9987,0.0265,0.9976
fp16,2,code,4,2,1.0,3,0.6704,0.9131,1.019,0.8763
fp16,2,code,5,0,0.0,1,2.7736,0.3581,2.9233,0.2466
fp16,2,code,6,2,1.0,3,1.8039,0.7116,2.677,0.5577
fp16,2,code,7,2,1.0,3,0.9859,0.725,1.9311,0.4534
fp16,2,code,8,2,1.0,3,1.329,0.6788,1.8203,0.5515
fp16,2,code,9,2,1.0,3,0.9736,0.7237,1.9158,0.4496
fp16,2,code,10,2,1.0,3,0.3189,0.9539,0.4486,0.926
fp16,2,code,11,1,0.5,2,1.1938,0.7465,1.2154,0.7361
fp16,2,code,12,2,1.0,3,0.224,0.9605,0.4476,0.9211
fp16,2,code,13,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,code,14,2,1.0,3,1.5832,0.7292,2.0407,0.6912
fp16,2,code,15,2,1.0,3,0.568,0.7962,1.1347,0.5926
fp16,2,code,16,1,0.5,2,2.0169,0.5725,2.8258,0.3902
fp16,2,code,17,2,1.0,3,0.7356,0.842,1.3238,0.7005
fp16,2,code,18,2,1.0,3,0.0826,0.9923,0.1147,0.9889
fp16,2,code,19,2,1.0,3,0.0926,0.987,0.1837,0.9741
fp16,2,code,20,2,1.0,3,0.2409,0.9729,0.2944,0.9639
fp16,2,code,21,2,1.0,3,0.0045,0.9997,0.0067,0.9995
fp16,2,code,22,2,1.0,3,0.1347,0.9791,0.2693,0.9581
fp16,2,code,23,2,1.0,3,0.2136,0.9631,0.4063,0.9276
fp16,2,code,24,2,1.0,3,0.0001,1.0,0.0002,1.0
fp16,2,code,25,1,0.5,2,1.6671,0.6482,3.3341,0.2963
fp16,2,code,26,2,1.0,3,0.7918,0.7551,1.313,0.5422
fp16,2,code,27,2,1.0,3,0.5461,0.9301,0.7744,0.8932
fp16,2,code,28,1,0.5,2,1.7152,0.6122,3.3217,0.2341
fp16,2,code,29,0,0.0,1,1.9918,0.4904,2.8714,0.3961
fp16,2,code,30,2,1.0,3,0.123,0.9834,0.2164,0.9694
fp16,2,code,31,1,1.0,2,0.2114,0.9789,0.2114,0.9789
fp16,2,code,0,0,0.0,1,3.9012,0.3049,4.4177,0.239
fp16,2,code,1,0,0.0,1,3.1166,0.5054,3.9576,0.4318
fp16,2,code,2,2,1.0,3,1.8057,0.4297,1.9254,0.3578
fp16,2,code,3,2,1.0,3,3.1144,0.4404,3.7705,0.3955
fp16,2,code,4,2,1.0,3,0.3251,0.9332,0.6449,0.8667
fp16,2,code,5,2,1.0,3,0.2236,0.9741,0.3102,0.9611
fp16,2,code,6,2,1.0,3,0.2966,0.9432,0.5904,0.8865
fp16,2,code,7,2,1.0,3,0.0008,1.0,0.0011,0.9999
fp16,2,code,8,2,1.0,3,0.9955,0.7459,1.1484,0.7417
fp16,2,code,9,2,1.0,3,0.1055,0.9872,0.2089,0.9745
fp16,2,code,10,2,1.0,3,0.0025,0.9999,0.0035,0.9998
fp16,2,code,11,2,1.0,3,0.0016,0.9999,0.002,0.9999
fp16,2,code,12,2,1.0,3,0.0221,0.9982,0.0242,0.998
fp16,2,code,13,2,1.0,3,0.0436,0.9965,0.0519,0.9961
fp16,2,code,14,2,1.0,3,0.0213,0.9979,0.0413,0.9958
fp16,2,code,15,2,1.0,3,0.0003,1.0,0.0004,1.0
fp16,2,code,16,2,1.0,3,0.0147,0.9986,0.0287,0.9972
fp16,2,code,17,2,1.0,3,0.0387,0.9972,0.0751,0.9945
fp16,2,code,18,2,1.0,3,0.1302,0.9794,0.2539,0.9593
fp16,2,code,19,2,1.0,3,0.5039,0.9358,0.6107,0.9227
fp16,2,code,20,2,1.0,3,0.1048,0.989,0.1657,0.9825
fp16,2,code,21,2,1.0,3,0.8973,0.7941,1.2284,0.7196
fp16,2,code,22,2,1.0,3,0.041,0.9952,0.0761,0.9908
fp16,2,code,23,2,1.0,3,0.1843,0.974,0.3559,0.9488
fp16,2,code,24,2,1.0,3,0.0079,0.9994,0.0134,0.999
fp16,2,code,25,2,1.0,3,0.0787,0.99,0.12,0.9838
fp16,2,code,26,2,1.0,3,0.2777,0.9651,0.555,0.9301
fp16,2,code,27,2,1.0,3,0.0023,0.9998,0.0044,0.9997
fp16,2,code,0,0,0.0,1,2.4529,0.4054,3.5453,0.3337
fp16,2,code,1,0,0.0,1,2.6488,0.4228,3.2086,0.2209
fp16,2,code,2,2,1.0,3,0.2568,0.9532,0.4972,0.9078
fp16,2,code,3,2,1.0,3,0.7391,0.9116,1.451,0.8256
fp16,2,code,4,2,1.0,3,0.1709,0.9793,0.2879,0.9631
fp16,2,code,5,1,0.5,2,1.2739,0.7937,2.5283,0.5888
fp16,2,code,6,2,1.0,3,0.7209,0.8134,1.1778,0.6601
fp16,2,code,7,0,0.0,1,1.0423,0.6865,1.5532,0.466
fp16,2,code,8,2,1.0,3,0.3673,0.9503,0.3698,0.9416
fp16,2,code,9,2,1.0,3,0.4594,0.909,0.8785,0.8213
fp16,2,code,10,2,1.0,3,0.8174,0.8634,1.6311,0.7271
fp16,2,code,11,2,1.0,3,0.139,0.9767,0.272,0.9538
fp16,2,code,12,2,1.0,3,0.1519,0.9774,0.2884,0.9561
fp16,2,code,13,2,1.0,3,0.244,0.9498,0.465,0.9018
fp16,2,code,14,2,1.0,3,0.0349,0.9967,0.0696,0.9933
fp16,2,code,15,2,1.0,3,0.0013,0.9999,0.0022,0.9999
fp16,2,code,16,2,1.0,3,0.0927,0.9862,0.1849,0.9725
fp16,2,code,17,2,1.0,3,0.1932,0.9629,0.382,0.9262
fp16,2,code,18,2,1.0,3,0.8047,0.7391,0.9463,0.6439
fp16,2,code,19,2,1.0,3,0.3248,0.9452,0.5897,0.8962
fp16,2,code,20,2,1.0,3,0.1558,0.9775,0.2937,0.9564
fp16,2,code,21,1,0.5,2,0.9327,0.7618,1.2569,0.6591
fp16,2,code,22,2,1.0,3,0.0717,0.9911,0.1192,0.9846
fp16,2,code,23,2,1.0,3,0.0098,0.9992,0.0176,0.9986
fp16,2,code,24,2,1.0,3,0.5588,0.7596,0.9972,0.5351
fp16,2,code,25,2,1.0,3,0.4942,0.8303,0.9875,0.6607
fp16,2,code,26,2,1.0,3,0.0148,0.9987,0.0227,0.9978
fp16,2,code,27,2,1.0,3,0.0083,0.9993,0.0157,0.9987
fp16,2,code,28,2,1.0,3,0.0041,0.9997,0.0062,0.9996
fp16,2,code,29,1,1.0,2,0.0958,0.9879,0.0958,0.9879
fp16,2,code,0,0,0.0,1,1.6526,0.6631,2.4771,0.4138
fp16,2,code,1,0,0.0,1,0.9202,0.7457,1.8393,0.4915
fp16,2,code,2,1,0.5,2,2.1974,0.585,2.9611,0.3842
fp16,2,code,3,0,0.0,1,2.0175,0.4719,2.8188,0.3593
fp16,2,code,4,2,1.0,3,0.4053,0.9527,0.6103,0.9247
fp16,2,code,5,2,1.0,3,0.5695,0.9022,0.7047,0.8808
fp16,2,code,6,2,1.0,3,0.1899,0.9786,0.2186,0.9766
fp16,2,code,7,2,1.0,3,0.4651,0.8927,0.8562,0.7936
fp16,2,code,8,2,1.0,3,0.3886,0.9461,0.777,0.8923
fp16,2,code,9,1,0.5,2,1.5037,0.6309,2.5015,0.3349
fp16,2,code,10,0,0.0,1,1.4831,0.7196,2.954,0.4401
fp16,2,code,11,2,1.0,3,0.0004,1.0,0.0006,1.0
fp16,2,code,12,2,1.0,3,1.1353,0.7855,1.6606,0.7055
fp16,2,code,13,2,1.0,3,0.0365,0.9972,0.0697,0.9947
fp16,2,code,14,2,1.0,3,0.0017,0.9999,0.0022,0.9999
fp16,2,code,15,2,1.0,3,0.6233,0.8869,1.2466,0.7737
fp16,2,code,16,2,1.0,3,0.0888,0.9923,0.1097,0.9905
fp16,2,code,17,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,code,18,2,1.0,3,0.0005,1.0,0.0005,1.0
fp16,2,code,19,2,1.0,3,0.4245,0.8975,0.6934,0.817
fp16,2,code,20,2,1.0,3,0.6597,0.8436,1.2943,0.6896
fp16,2,code,21,2,1.0,3,0.378,0.8948,0.7523,0.7899
fp16,2,code,22,2,1.0,3,0.0254,0.9974,0.0507,0.9949
fp16,2,code,23,2,1.0,3,0.5956,0.88,0.6039,0.8736
fp16,2,code,24,2,1.0,3,0.3958,0.9277,0.527,0.8962
fp16,2,code,25,2,1.0,3,0.0985,0.9898,0.1958,0.9796
fp16,2,code,26,2,1.0,3,0.408,0.8856,0.7805,0.7741
fp16,2,code,27,2,1.0,3,0.0009,0.9999,0.0015,0.9999
fp16,2,code,28,2,1.0,3,0.0581,0.9943,0.0813,0.9909
fp16,2,code,29,2,1.0,3,0.0149,0.9986,0.0296,0.9972
fp16,2,code,0,0,0.0,1,3.3299,0.5046,3.715,0.4722
fp16,2,code,1,0,0.0,1,4.2563,0.5778,7.5202,0.2599
fp16,2,code,2,0,0.0,1,2.73,0.6691,4.0384,0.5705
fp16,2,code,3,2,1.0,3,1.3366,0.7632,2.6602,0.5269
fp16,2,code,4,1,0.5,2,0.9447,0.6881,1.1642,0.5315
fp16,2,code,5,2,1.0,3,1.8898,0.648,2.849,0.5667
fp16,2,code,6,1,0.5,2,3.7134,0.4535,4.7612,0.2982
fp16,2,code,7,0,0.0,1,1.0962,0.7154,1.9942,0.4444
fp16,2,code,8,0,0.0,1,3.1906,0.5764,5.23,0.2669
fp16,2,code,9,2,1.0,3,1.2049,0.8,2.3733,0.6021
fp16,2,code,10,2,1.0,3,1.3958,0.6525,1.8144,0.4974
fp16,2,code,11,2,1.0,3,1.5948,0.703,2.9654,0.44
fp16,2,code,12,2,1.0,3,0.8588,0.8576,1.2483,0.7813
fp16,2,code,13,2,1.0,3,1.0554,0.7408,2.0551,0.4858
fp16,2,code,14,2,1.0,3,0.2528,0.9721,0.455,0.949
fp16,2,code,15,0,0.0,1,0.6699,0.8572,1.2922,0.7184
fp16,2,code,16,2,1.0,3,1.1905,0.7198,1.9036,0.4825
fp16,2,code,17,0,0.0,1,0.5996,0.8753,1.1457,0.755
fp16,2,code,18,2,1.0,3,0.2285,0.9783,0.3516,0.9648
fp16,2,code,19,2,1.0,3,0.1239,0.9846,0.1586,0.978
fp16,2,code,20,2,1.0,3,0.0083,0.9994,0.0125,0.999
fp16,2,code,21,1,0.5,2,0.7328,0.8088,1.461,0.6178
fp16,2,code,22,2,1.0,3,0.631,0.8737,1.1957,0.7521
fp16,2,code,23,2,1.0,3,0.0138,0.9992,0.0211,0.9988
fp16,2,code,24,2,1.0,3,0.2227,0.9721,0.3952,0.9488
fp16,2,code,25,2,1.0,3,0.9378,0.8885,1.6927,0.7934
fp16,2,code,26,2,1.0,3,0.0166,0.9987,0.0322,0.9974
fp16,2,code,27,2,1.0,3,1.7833,0.5809,2.7966,0.3703
fp16,2,code,28,2,1.0,3,0.0241,0.9984,0.0308,0.9979
fp16,2,code,29,2,1.0,3,0.1781,0.9691,0.3272,0.9406
fp16,2,code,30,2,1.0,3,0.141,0.9866,0.2504,0.9747
fp16,2,code,31,2,1.0,3,0.1045,0.989,0.1333,0.9852
fp16,2,code,32,1,1.0,2,0.5245,0.951,0.5245,0.951
fp16,2,math,0,0,0.0,1,3.6851,0.4637,5.3144,0.2207
fp16,2,math,1,0,0.0,1,2.3543,0.7003,4.4918,0.4258
fp16,2,math,2,2,1.0,3,0.0001,1.0,0.0001,1.0
fp16,2,math,3,1,0.5,2,1.3395,0.7026,2.6622,0.4067
fp16,2,math,4,2,1.0,3,0.1007,0.9849,0.1997,0.9698
fp16,2,math,5,2,1.0,3,0.6286,0.7676,1.2471,0.5358
fp16,2,math,6,2,1.0,3,0.5026,0.7693,1.0023,0.5388
fp16,2,math,7,2,1.0,3,0.0754,0.9898,0.15,0.9796
fp16,2,math,8,2,1.0,3,0.0001,1.0,0.0001,1.0
fp16,2,math,9,2,1.0,3,0.0001,1.0,0.0001,1.0
fp16,2,math,10,2,1.0,3,0.3328,0.9161,0.6654,0.8323
fp16,2,math,11,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,math,12,2,1.0,3,0.517,0.8519,1.0287,0.7042
fp16,2,math,13,2,1.0,3,0.0005,1.0,0.0007,1.0
fp16,2,math,14,2,1.0,3,0.4337,0.9089,0.8674,0.8178
fp16,2,math,15,2,1.0,3,1.2287,0.5747,1.5226,0.4982
fp16,2,math,16,2,1.0,3,0.426,0.9298,0.5074,0.9112
fp16,2,math,17,0,0.0,1,0.5458,0.8261,0.9336,0.6742
fp16,2,math,18,1,0.5,2,0.7102,0.7532,1.402,0.508
fp16,2,math,19,1,0.5,2,1.2045,0.6013,1.205,0.5538
fp16,2,math,20,2,1.0,3,0.0009,0.9999,0.0016,0.9999
fp16,2,math,21,2,1.0,3,0.0014,0.9999,0.0026,0.9998
fp16,2,math,22,2,1.0,3,0.0069,0.9994,0.0133,0.9988
fp16,2,math,23,2,1.0,3,1.0077,0.8032,1.0202,0.7783
fp16,2,math,24,2,1.0,3,0.1542,0.9763,0.3081,0.9526
fp16,2,math,25,2,1.0,3,0.3091,0.9239,0.6175,0.8478
fp16,2,math,26,2,1.0,3,0.0001,1.0,0.0003,1.0
fp16,2,math,27,2,1.0,3,0.3161,0.936,0.6321,0.872
fp16,2,math,28,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,math,29,2,1.0,3,0.6846,0.7399,1.3691,0.4799
fp16,2,math,0,0,0.0,1,3.8928,0.3607,4.1051,0.2502
fp16,2,math,1,2,1.0,3,0.1147,0.9906,0.2294,0.9813
fp16,2,math,2,2,1.0,3,0.0163,0.9983,0.0326,0.9967
fp16,2,math,3,2,1.0,3,0.92,0.7369,1.8393,0.4738
fp16,2,math,4,2,1.0,3,0.5076,0.9007,0.6713,0.8517
fp16,2,math,5,2,1.0,3,0.727,0.7806,1.454,0.5612
fp16,2,math,6,2,1.0,3,0.5389,0.8918,0.6961,0.8372
fp16,2,math,7,2,1.0,3,0.0038,0.9997,0.0043,0.9997
fp16,2,math,8,0,0.0,1,0.5266,0.7693,1.0376,0.5401
fp16,2,math,9,2,1.0,3,0.5749,0.91,1.1481,0.8202
fp16,2,math,10,2,1.0,3,0.2762,0.938,0.537,0.8775
fp16,2,math,11,2,1.0,3,0.3981,0.8852,0.7961,0.7703
fp16,2,math,12,2,1.0,3,0.0004,1.0,0.0006,1.0
fp16,2,math,13,2,1.0,3,0.5628,0.8316,1.1161,0.6639
fp16,2,math,14,2,1.0,3,0.3378,0.9138,0.6606,0.8289
fp16,2,math,15,2,1.0,3,0.4734,0.8862,0.9467,0.7725
fp16,2,math,16,2,1.0,3,0.0199,0.998,0.0387,0.9961
fp16,2,math,17,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,math,18,2,1.0,3,0.0315,0.9963,0.0628,0.9926
fp16,2,math,19,2,1.0,3,0.0003,1.0,0.0003,1.0
fp16,2,math,20,2,1.0,3,0.0001,1.0,0.0002,1.0
fp16,2,math,21,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,math,22,2,1.0,3,0.0637,0.9918,0.1275,0.9835
fp16,2,math,23,2,1.0,3,0.6469,0.7465,1.1995,0.5028
fp16,2,math,24,1,0.5,2,0.4452,0.8684,0.8902,0.7368
fp16,2,math,25,2,1.0,3,0.3494,0.9399,0.5589,0.894
fp16,2,math,26,2,1.0,3,0.2316,0.9539,0.459,0.9081
fp16,2,math,27,2,1.0,3,0.8008,0.8283,0.914,0.792
fp16,2,math,28,1,1.0,2,0.0004,1.0,0.0004,1.0
fp16,2,math,0,2,1.0,3,3.2794,0.536,5.7299,0.1567
fp16,2,math,1,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,math,2,0,0.0,1,0.8859,0.8248,1.7642,0.6501
fp16,2,math,3,1,0.5,2,0.7981,0.7617,1.5918,0.5237
fp16,2,math,4,2,1.0,3,0.8688,0.7505,1.7255,0.5018
fp16,2,math,5,2,1.0,3,0.0058,0.9996,0.0086,0.9994
fp16,2,math,6,2,1.0,3,0.3051,0.9414,0.6086,0.8829
fp16,2,math,7,2,1.0,3,0.268,0.9468,0.5361,0.8935
fp16,2,math,8,2,1.0,3,0.0339,0.9962,0.0665,0.9925
fp16,2,math,9,2,1.0,3,0.1045,0.984,0.2077,0.968
fp16,2,math,10,2,1.0,3,0.0529,0.9946,0.1048,0.9892
fp16,2,math,11,2,1.0,3,0.0804,0.9888,0.1541,0.9782
fp16,2,math,12,2,1.0,3,0.4689,0.8593,0.9361,0.7188
fp16,2,math,13,1,0.5,2,1.0029,0.6931,1.004,0.6154
fp16,2,math,14,2,1.0,3,0.3372,0.9307,0.6709,0.8617
fp16,2,math,15,2,1.0,3,0.0,1.0,0.0,1.0
fp16,2,math,16,2,1.0,3,0.0128,0.9989,0.0256,0.9978
fp16,2,math,17,2,1.0,3,0.0004,1.0,0.0009,1.0
fp16,2,math,18,2,1.0,3,0.0006,1.0,0.0012,0.9999
fp16,2,math,19,2,1.0,3,0.0067,0.9994,0.0134,0.9989
fp16,2,math,20,2,1.0,3,0.0001,1.0,0.0001,1.0
fp16,2,math,21,2,1.0,3,0.0014,0.9999,0.0028,0.9998
fp16,2,math,22,2,1.0,3,0.4018,0.8869,0.8035,0.7739
fp16,2,math,23,2,1.0,3,0.0001,1.0,0.0002,1.0
fp16,2,math,24,2,1.0,3,0.3162,0.9482,0.6325,0.8964
fp16,2,math,25,2,1.0,3,0.0242,0.9974,0.0478,0.9949
fp16,2,math,26,2,1.0,3,0.0052,0.9996,0.0102,0.9992
fp16,2,math,27,2,1.0,3,0.796,0.7837,1.1672,0.6473
fp16,2,math,0,2,1.0,3,2.8055,0.5891,5.2598,0.2092
fp16,2,math,1,2,1.0,3,0.0003,1.0,0.0006,1.0
fp16,2,math,2,2,1.0,3,1.2965,0.7102,2.5922,0.4204
fp16,2,math,3,2,1.0,3,0.025,0.9976,0.0491,0.9952
fp16,2,math,4,2,1.0,3,0.0149,0.9985,0.0299,0.997
fp16,2,math,5,2,1.0,3,0.4868,0.8175,0.9723,0.6351
fp16,2,math,6,2,1.0,3,0.9443,0.7015,1.8885,0.4029
fp16,2,math,7,2,1.0,3,0.3226,0.9297,0.5691,0.8683
fp16,2,math,8,2,1.0,3,0.292,0.9402,0.5824,0.8806
fp16,2,math,9,2,1.0,3,0.0009,1.0,0.0015,0.9999
fp16,2,math,10,2,1.0,3,0.9895,0.7343,1.9788,0.4687
fp16,2,math,11,2,1.0,3,0.0019,0.9999,0.0038,0.9997
fp16,2,math,12,2,1.0,3,0.285,0.9334,0.5699,0.8668
fp16,2,math,13,2,1.0,3,0.0005,1.0,0.0006,1.0
fp16,2,math,14,2,1.0,3,0.0039,0.9997,0.0066,0.9995
fp16,2,math,15,2,1.0,3,0.0897,0.9868,0.1791,0.9737
fp16,2,math,16,2,1.0,3,0.0001,1.0,0.0002,1.0
fp16,2,math,17,2,1.0,3,0.2434,0.9553,0.4866,0.9106
fp16,2,math,18,2,1.0,3,0.0,1.0,0.0001,1.0
fp16,2,math,19,2,1.0,3,0.9189,0.7886,1.8377,0.5773
fp16,2,math,20,2,1.0,3,0.4105,0.9366,0.4266,0.9302
fp16,2,math,21,2,1.0,3,0.4675,0.829,0.935,0.6581
fp16,2,math,22,2,1.0,3,0.8157,0.7754,1.404,0.5808
fp16,2,math,23,2,1.0,3,0.3009,0.9487,0.3101,0.9459
fp16,2,math,24,2,1.0,3,0.4095,0.873,0.8189,0.7461
fp16,2,math,25,2,1.0,3,0.0038,0.9997,0.0051,0.9996
fp16,2,math,26,2,1.0,3,0.0059,0.9995,0.0113,0.9991
fp16,2,math,0,1,0.5,2,5.0531,0.1899,5.7449,0.1566
fp16,2,math,1,2,1.0,3,1.01,0.8067,1.5266,0.6738
fp16,2,math,2,1,0.5,2,1.9637,0.5254,2.5606,0.339
fp16,2,math,3,2,1.0,3,1.8396,0.6901,1.8518,0.6605
fp16,2,math,4,2,1.0,3,1.1296,0.7112,1.4585,0.5518
fp16,2,math,5,2,1.0,3,0.5013,0.9401,0.6235,0.921
fp16,2,math,6,2,1.0,3,0.0416,0.9965,0.0755,0.9936
fp16,2,math,7,2,1.0,3,0.0325,0.9971,0.0614,0.9944
fp16,2,math,8,2,1.0,3,0.9503,0.7399,1.8963,0.4802
fp16,2,math,9,2,1.0,3,1.1068,0.8266,2.0728,0.6682
fp16,2,math,10,1,0.5,2,1.1245,0.7344,1.2989,0.6116
fp16,2,math,11,1,0.5,2,1.4242,0.7101,2.5867,0.4468
fp16,2,math,12,2,1.0,3,0.392,0.9324,0.6213,0.8811
fp16,2,math,13,2,1.0,3,0.1196,0.9818,0.2196,0.9652
fp16,2,math,14,2,1.0,3,0.016,0.9988,0.0174,0.9987
fp16,2,math,15,2,1.0,3,0.0232,0.9978,0.0323,0.9968
fp16,2,math,16,2,1.0,3,0.5498,0.9023,1.0975,0.8048
fp16,2,math,17,1,0.5,2,0.7797,0.8367,1.2486,0.7015
fp16,2,math,18,2,1.0,3,3.1844,0.3392,4.3769,0.2675
fp16,2,math,19,2,1.0,3,1.6037,0.6756,2.0445,0.5529
fp16,2,math,20,2,1.0,3,0.2575,0.9725,0.362,0.9595
fp16,2,math,21,0,0.0,1,4.2279,0.2306,6.383,0.1065
fp16,2,math,22,2,1.0,3,1.1776,0.8208,2.3552,0.6416
fp16,2,math,23,2,1.0,3,0.047,0.994,0.0938,0.9881
fp16,2,math,24,0,0.0,1,0.4117,0.8961,0.8232,0.7922
fp16,2,math,25,2,1.0,3,1.1572,0.8044,2.1322,0.632
fp16,2,math,26,2,1.0,3,0.7463,0.7315,1.4915,0.4631
fp16,2,math,27,0,0.0,1,1.22,0.5779,1.4518,0.5698
fp16,2,math,28,1,0.5,2,1.3941,0.5738,1.4847,0.5348
fp16,2,math,29,2,1.0,3,0.9994,0.7174,1.9988,0.4348
fp16,2,math,30,2,1.0,3,0.6464,0.8723,0.8437,0.8356
fp16,2,chat,0,0,0.0,1,3.4985,0.3266,5.2166,0.1926
fp16,2,chat,1,1,0.5,2,3.7965,0.4982,5.8293,0.2201
fp16,2,chat,2,2,1.0,3,2.2667,0.5763,3.2205,0.4694
fp16,2,chat,3,2,1.0,3,3.1876,0.5285,4.2139,0.4061
fp16,2,chat,4,1,0.5,2,3.4293,0.4109,4.9265,0.2177
fp16,2,chat,5,2,1.0,3,2.9069,0.5377,5.1501,0.1729
fp16,2,chat,6,2,1.0,3,3.8207,0.4384,3.8944,0.3164
fp16,2,chat,7,0,0.0,1,1.3528,0.512,1.6674,0.4979
fp16,2,chat,8,2,1.0,3,0.5646,0.8275,1.127,0.6552
fp16,2,chat,9,2,1.0,3,0.7995,0.7934,1.4278,0.602
fp16,2,chat,10,2,1.0,3,1.2113,0.6943,1.4402,0.6485
fp16,2,chat,11,2,1.0,3,1.3995,0.7657,2.1136,0.7027
fp16,2,chat,12,2,1.0,3,0.4959,0.9114,0.9888,0.823
fp16,2,chat,13,2,1.0,3,0.5694,0.9129,0.7035,0.8852
fp16,2,chat,14,2,1.0,3,0.1388,0.9864,0.237,0.9767
fp16,2,chat,15,2,1.0,3,0.7817,0.8559,1.4421,0.7252
fp16,2,chat,16,2,1.0,3,0.2236,0.967,0.4469,0.9341
fp16,2,chat,17,2,1.0,3,0.3708,0.9353,0.5924,0.8852
fp16,2,chat,18,2,1.0,3,0.4935,0.9006,0.9864,0.8011
fp16,2,chat,19,2,1.0,3,2.0805,0.5831,2.8403,0.4088
fp16,2,chat,20,2,1.0,3,0.8548,0.822,1.7093,0.644
fp16,2,chat,21,1,0.5,2,1.357,0.5924,1.8655,0.4406
fp16,2,chat,22,2,1.0,3,0.3905,0.945,0.7741,0.8904
fp16,2,chat,23,2,1.0,3,0.0003,1.0,0.0005,1.0
fp16,2,chat,24,2,1.0,3,1.2083,0.7181,2.3354,0.4463
fp16,2,chat,25,2,1.0,3,0.1751,0.9749,0.2506,0.9598
fp16,2,chat,26,2,1.0,3,1.3388,0.7199,2.6547,0.4417
fp16,2,chat,27,2,1.0,3,0.9185,0.7901,1.7649,0.5875
fp16,2,chat,28,1,0.5,2,0.556,0.7462,1.0019,0.5038
fp16,2,chat,29,1,1.0,2,1.0504,0.8115,1.0504,0.8115
fp16,2,chat,0,2,1.0,3,1.2224,0.8371,1.2777,0.8188
fp16,2,chat,1,1,0.5,2,2.3949,0.6308,4.0019,0.3763
fp16,2,chat,2,2,1.0,3,3.3429,0.3871,3.4551,0.3496
fp16,2,chat,3,2,1.0,3,1.3715,0.7858,2.1994,0.6295
fp16,2,chat,4,0,0.0,1,1.636,0.6465,3.1572,0.3045
fp16,2,chat,5,2,1.0,3,0.2837,0.9583,0.3862,0.9424
fp16,2,chat,6,2,1.0,3,1.2051,0.7369,2.2899,0.4841
fp16,2,chat,7,1,0.5,2,3.6692,0.238,4.0714,0.2027
fp16,2,chat,8,2,1.0,3,0.6608,0.9232,1.3155,0.8468
fp16,2,chat,9,0,0.0,1,2.8055,0.6021,3.7515,0.5211
fp16,2,chat,10,2,1.0,3,2.7609,0.6968,4.9084,0.4986
fp16,2,chat,11,0,0.0,1,1.1403,0.7473,1.1642,0.7124
fp16,2,chat,12,2,1.0,3,1.1128,0.7878,1.5357,0.655
fp16,2,chat,13,2,1.0,3,0.0074,0.9995,0.0129,0.9991
fp16,2,chat,14,2,1.0,3,1.3618,0.7314,2.6168,0.4725
fp16,2,chat,15,2,1.0,3,1.4873,0.6752,2.4026,0.4333
fp16,2,chat,16,2,1.0,3,0.2175,0.9741,0.4096,0.9501
fp16,2,chat,17,2,1.0,3,0.4565,0.9158,0.533,0.8843
fp16,2,chat,18,2,1.0,3,0.7445,0.8437,1.4629,0.6891
fp16,2,chat,19,2,1.0,3,0.4828,0.8449,0.9649,0.6899
fp16,2,chat,20,2,1.0,3,0.0381,0.9969,0.0733,0.994
fp16,2,chat,21,1,0.5,2,1.2074,0.7211,2.4146,0.4422
fp16,2,chat,22,2,1.0,3,2.5986,0.5584,3.2478,0.5155
fp16,2,chat,23,0,0.0,1,1.6507,0.6939,2.903,0.4326
fp16,2,chat,24,2,1.0,3,0.3205,0.9447,0.616,0.8919
fp16,2,chat,25,1,0.5,2,2.2101,0.4902,2.7388,0.3626
fp16,2,chat,26,0,0.0,1,0.3654,0.9074,0.7296,0.8149
fp16,2,chat,27,2,1.0,3,0.1108,0.9865,0.2107,0.9739
fp16,2,chat,28,2,1.0,3,0.2629,0.9473,0.4741,0.899
fp16,2,chat,29,0,0.0,1,2.8566,0.3275,3.4731,0.2178
fp16,2,chat,30,0,0.0,1,2.5228,0.5038,3.4919,0.3818
fp16,2,chat,31,1,0.5,2,2.1648,0.6056,3.5705,0.315
fp16,2,chat,32,1,0.5,2,1.5629,0.6491,1.7916,0.6347
fp16,2,chat,33,1,1.0,2,0.6231,0.9358,0.6231,0.9358
fp16,2,chat,0,0,0.0,1,3.1386,0.5969,6.0682,0.2207
fp16,2,chat,1,2,1.0,3,1.8927,0.635,3.204,0.3776
fp16,2,chat,2,2,1.0,3,1.6777,0.7426,3.1323,0.5114
fp16,2,chat,3,1,0.5,2,0.7284,0.7814,1.4175,0.5658
fp16,2,chat,4,2,1.0,3,1.8899,0.461,2.1977,0.444
fp16,2,chat,5,2,1.0,3,1.3444,0.736,1.825,0.5987
fp16,2,chat,6,2,1.0,3,1.1282,0.7498,1.2574,0.6931
fp16,2,chat,7,2,1.0,3,0.8643,0.8144,1.5757,0.6405
